date,close
16-Feb-16,100
17-Feb-16,99.8673441927
18-Feb-16,99.7384583521
19-Feb-16,99.6063876533
20-Feb-16,99.4688953924
21-Feb-16,99.3321656535
22-Feb-16,99.1985822592
23-Feb-16,99.0609840352
24-Feb-16,98.9225489916
25-Feb-16,98.7911222582
26-Feb-16,98.648458274
27-Feb-16,98.5156999044
28-Feb-16,98.3798521035
29-Feb-16,98.2286879508
1-Mar-16,98.0898744522
2-Mar-16,97.9573223132
3-Mar-16,97.8202014659
4-Mar-16,97.6791582341
5-Mar-16,97.535316621
6-Mar-16,97.3933726575
7-Mar-16,97.2539797216
8-Mar-16,97.1060797876
9-Mar-16,96.9662898081
10-Mar-16,96.8289204211
11-Mar-16,96.6949542445
12-Mar-16,96.5514578395
13-Mar-16,96.403645282
14-Mar-16,96.2608834785
15-Mar-16,96.1216792389
16-Mar-16,95.9798205823
17-Mar-16,95.8346063822
18-Mar-16,95.6952953226
19-Mar-16,95.5566014516
20-Mar-16,95.412244115
21-Mar-16,95.2605260396
22-Mar-16,95.119197595
23-Mar-16,94.9704918878
24-Mar-16,94.8425714627
25-Mar-16,94.6945827299
26-Mar-16,94.5537291614
27-Mar-16,94.4076288186
28-Mar-16,94.2671752365
29-Mar-16,94.1226382736
30-Mar-16,93.9761894822
31-Mar-16,93.8247955376
1-Apr-16,93.6860042088
2-Apr-16,93.5353200001
3-Apr-16,93.3837277139
4-Apr-16,93.2332642029
5-Apr-16,93.0959773069
6-Apr-16,92.9448571429
7-Apr-16,92.7934969777
8-Apr-16,92.6386590541
9-Apr-16,92.4911068779
10-Apr-16,92.350514258
11-Apr-16,92.2019872691
12-Apr-16,92.0573451139
13-Apr-16,91.9052436519
14-Apr-16,91.7461712498
15-Apr-16,91.6020321589
16-Apr-16,91.4555654683
17-Apr-16,91.3073067055
18-Apr-16,91.1690351147
19-Apr-16,91.0120967311
20-Apr-16,90.8672583892
21-Apr-16,90.7199206872
22-Apr-16,90.5628836049
23-Apr-16,90.4064477545
